date,ITUB4,LREN3,MGLU3,TTEN3,VALE3,soma,evolucao_patrimonial,evolucao_percentual,evolucao_cum
2022-08-22,-129090.41500000001,0.0,0.0,0.0,0.0,-129090.41500000001,1470.2749999999942,-0.011389497818253928,1.1404182962354745
2022-08-23,-129433.48,0.0,0.0,0.0,0.0,-129433.48,-343.0649999999878,0.002650512062257677,1.143440988685666
2022-08-24,-129972.58499999999,0.0,0.0,0.0,0.0,-129972.58499999999,-539.1049999999959,0.004147836253314466,1.148183794672062
2022-08-25,-131589.89,0.0,0.0,0.0,0.0,-131589.89,-1617.3050000000221,0.012290495873201367,1.1622955428621558
2022-08-26,-130805.74500000001,0.0,0.0,0.0,0.0,-130805.74500000001,784.1450000000041,-0.005994729054140581,1.1553278960018618
2022-08-29,-130364.66,0.0,0.0,0.0,0.0,-130364.66,441.0850000000064,-0.0033834706430408853,1.1514188779826533
2022-08-30,-129776.545,0.0,0.0,0.0,0.0,-129776.545,588.1150000000052,-0.004531751095700731,1.1462009342207449
2022-08-31,-126492.92000000001,0.0,0.0,0.0,0.0,-126492.92000000001,3283.6249999999854,-0.02595896276250074,1.116446746850965
2022-09-01,-128429.90000000001,0.0,0.0,0.0,0.0,-128429.90000000001,-1936.979999999996,0.015082001932571743,1.1332849988445846
2022-09-02,-130195.25,0.0,0.0,0.0,0.0,-130195.25,-1765.3499999999913,0.013559250433483489,1.1486514939564283
2022-09-05,-132303.88,0.0,0.0,0.0,0.0,-132303.88,-2108.6300000000047,0.015937778997864648,1.166958447612673
2022-09-06,-131077.935,0.0,0.0,0.0,0.0,-131077.935,1225.945000000007,-0.009352794579804808,1.156044124968984
2022-09-07,-131077.935,0.0,0.0,0.0,0.0,-131077.935,0.0,-0.0,1.156044124968984
2022-09-08,-130146.21999999999,0.0,0.0,0.0,0.0,-130146.21999999999,931.7150000000111,-0.007158986254076462,1.147768020969225
2022-09-09,-131176.01,0.0,0.0,0.0,0.0,-131176.01,-1029.7900000000227,0.007850444604924503,1.1567785102371477
2022-09-12,-132745.22,0.0,0.0,0.0,0.0,-132745.22,-1569.2099999999919,0.011821216613298708,1.1704530395802701
2022-09-13,-131421.195,0.0,0.0,0.0,0.0,-131421.195,1324.0249999999942,-0.010074668701650401,1.1586611129756592
2022-09-14,-130930.825,0.0,0.0,0.0,0.0,-130930.825,490.3700000000099,-0.0037452601402306134,1.1543216256931963
2022-09-15,-131274.085,0.0,0.0,0.0,0.0,-131274.085,-343.25999999999476,0.002614834451140869,1.157339985647756
2022-09-16,-130832.745,0.0,0.0,0.0,0.0,-130832.745,441.3399999999965,-0.0033733145322296532,1.15343591385544
2022-09-19,-135736.52,0.0,0.0,0.0,0.0,-135736.52,-4903.774999999994,0.03612716017767359,1.1951062778699768
2022-09-20,-140247.995,0.0,0.0,0.0,0.0,-140247.995,-4511.475000000006,0.032167839547367544,1.2335502648585497
2022-09-21,-138776.86000000002,0.0,0.0,0.0,0.0,-138776.86000000002,1471.1349999999802,-0.010600722627677122,1.2204737406534867
2022-09-22,-141572.02,0.0,0.0,0.0,0.0,-141572.02,-2795.1599999999744,0.019743731847578178,1.2445704469159597
2022-09-23,-138776.86000000002,0.0,0.0,0.0,0.0,-138776.86000000002,2795.1599999999744,-0.020141398212929547,1.2195030579405817
2022-09-26,-136275.94,0.0,0.0,0.0,0.0,-136275.94,2500.920000000013,-0.018351882217800243,1.197122881457009
2022-09-27,-135000.96,0.0,0.0,0.0,0.0,-135000.96,1274.9800000000105,-0.00944422913733362,1.1858169786589838
2022-09-28,-134951.915,0.0,0.0,0.0,0.0,-134951.915,49.0449999999837,-0.0003634257431618047,1.1853860222422608
2022-09-29,-136962.465,0.0,0.0,0.0,0.0,-136962.465,-2010.5499999999884,0.014679569325800236,1.2027869785336005
2022-09-30,-137599.95,0.0,0.0,0.0,0.0,-137599.95,-637.4850000000151,0.004632886857880509,1.2083593545192786
2022-10-03,-145965.43,0.0,0.0,0.0,0.0,-145965.43,-8365.479999999981,0.05731137845447365,1.2776120947951364
2022-10-04,-146210.745,0.0,0.0,0.0,0.0,-146210.745,-245.31500000000233,0.0016778178648908623,1.2797556951921842
2022-10-05,-146210.745,0.0,0.0,0.0,0.0,-146210.745,0.0,-0.0,1.2797556951921842
2022-10-06,-143561.29499999998,0.0,0.0,0.0,0.0,-143561.29499999998,2649.4500000000116,-0.018455183202408503,1.256137569383087
2022-10-07,-143855.67500000002,0.0,0.0,0.0,0.0,-143855.67500000002,-294.38000000003376,0.002046356530599392,1.2587080747015253
2022-10-10,-142334.695,0.0,0.0,0.0,0.0,-142334.695,1520.9800000000105,-0.010685939924907349,1.2452575958322691
2022-10-11,-141353.41,0.0,0.0,0.0,0.0,-141353.41,981.2850000000035,-0.006942068111409576,1.2366129327857514
2022-10-13,-140519.32,0.0,0.0,0.0,0.0,-140519.32,834.0899999999965,-0.005935767409065148,1.2292726860416934
2022-10-14,-140568.39,0.0,0.0,0.0,0.0,-140568.39,-49.070000000006985,0.0003490827489736987,1.229701803930175
2022-10-17,-141696.855,0.0,0.0,0.0,0.0,-141696.855,-1128.4649999999965,0.007963938225728415,1.2394950731327417
2022-10-18,-145180.405,0.0,0.0,0.0,0.0,-145180.405,-3483.5499999999884,0.02399462930276292,1.2692362979351628
2022-10-19,-145229.47,0.0,0.0,0.0,0.0,-145229.47,-49.06500000000233,0.00033784465370563103,1.2696651026327093
